,solutes,solvents,solubility_param
543,G,Ethyl_lactate,6
544,G,n-Butyl_lactate,5
545,G,Diethylene_glycol,6
546,G,Dipropylene_glycol,6
547,G,2-Butoxyethanol,6
548,G,Methyl_dioxitol,6
549,G,Butyl_dioxitol,4
550,G,Oxitole,5
551,G,Diacetone_alcohol,5
552,G,Cellusolve_acetate,1
553,G,Methyl_Cellusolve,6
554,G,Diethyl_ether,3
555,G,Furan,1
556,G,Dioxane,1
557,G,Methylal,1
558,G,Diethyl_sulfide,1
559,G,Carbon_disulfide,1
560,G,Dimethyl_sulphoxide,6
561,G,Propylene_carbonate,6
562,G,gamma_Butyrolactone,1
563,G,Acetone,3
564,G,Methyl_ethyl_ketone,1
565,G,Methyl_isobutyl_ketone,1
566,G,Methyl_isoamyl_ketone,1
567,G,Diisobutyl_ketone,3
568,G,Isophorone,1
569,G,Acetophenone,1
570,G,Cyclohexanone,1
571,G,Tetrahydrofuran,1
572,G,Mesityl_oxide,1
573,G,Ethyl_acetate,1
574,G,n-Butyl_acetate,1
575,G,Isoamyl_acetate,1
576,G,Isobutyl_isobutyrate,1
577,G,Acetonitrile,4
578,G,Butyronitrite,1
579,G,Nitromethane,5
580,G,Nitroethane,2
581,G,2-Nitropropane,1
582,G,Aniline,1
583,G,Nitrobenzene,1
584,G,Ethanolamine,6
585,G,Dimethyl_formamide,1
586,G,Dipropyl_amine,1
587,G,Diethyl_amine,1
588,G,Morpholine,1
589,G,Cyclohexylamine,1
590,G,Pyridine,1
591,G,Carbon_terachloride,1
592,G,Chloroform,1
593,G,Ethylen_chloride,1
594,G,Methylene_chloride,1
595,G,1_1_1-Trichloroethane,1
596,G,1-Chlorobutane,1
597,G,Trichloroethylene,1
598,G,2_2-Dichloro_diethyl_ether,1
599,G,Chlorobenzene,1
600,G,o-Dichlorobenzene,1
601,G,alpha-bromonaphtaline,1
602,G,Cyclohexylchloride,1
603,G,Benzene,1
604,G,Toluene,1
605,G,Xylene,1
606,G,Ethyl_benzene,1
607,G,Styrene,1
608,G,Tetralin,1
609,G,Hexane,3
610,G,Cyclohexane,1
611,G,Acetic_acid,6
612,G,Formic_acid_90,6
613,G,Butyric_acid,4
614,G,Benzaldehyde,1
615,G,Acetic_anhydride,6
616,H,Methanol ,1
617,H,Ethanol_96,1
618,H,Ethanol_99p9,4
619,H,n-Propanol,4
620,H,n-Butanol,5
621,H,Pentanol-1,2
622,H,2-Ethyl_butanol,5
623,H,2-Ethyl_hexanol,5
624,H,Methyl_isobutyl_carbinol,5
625,H,Propylene_glycol,6
626,H,Ethylene_glycol,6
627,H,1_3-Butandiol,6
628,H,Glycerol,6
629,H,Cyclohexanol,1
630,H,m-Cresol,1
631,H,Ethyl_lactate,1
632,H,n-Butyl_lactate,1
633,H,Diethylene_glycol,6
634,H,Dipropylene_glycol,5
635,H,2-Butoxyethanol,2
636,H,Methyl_dioxitol,1
637,H,Butyl_dioxitol,1
638,H,Oxitole,1
639,H,Diacetone_alcohol,1
640,H,Cellusolve_acetate,1
641,H,Methyl_Cellusolve,1
642,H,Diethyl_ether,4
643,H,Furan,1
644,H,Dioxane,1
645,H,Methylal,1
646,H,Diethyl_sulfide,3
647,H,Carbon_disulfide,4
648,H,Dimethyl_sulphoxide,1
649,H,Propylene_carbonate,1
650,H,gamma_Butyrolactone,1
651,H,Acetone,1
652,H,Methyl_ethyl_ketone,1
653,H,Methyl_isobutyl_ketone,1
654,H,Methyl_isoamyl_ketone,1
655,H,Diisobutyl_ketone,5
656,H,Isophorone,1
657,H,Acetophenone,1
658,H,Cyclohexanone,1
659,H,Tetrahydrofuran,1
660,H,Mesityl_oxide,1
661,H,Ethyl_acetate,1
662,H,n-Butyl_acetate,1
663,H,Isoamyl_acetate,1
664,H,Isobutyl_isobutyrate,5
665,H,Acetonitrile,1
666,H,Butyronitrite,1
667,H,Nitromethane,1
668,H,Nitroethane,1
669,H,2-Nitropropane,1
670,H,Aniline,1
671,H,Nitrobenzene,1
672,H,Ethanolamine,6
673,H,Dimethyl_formamide,1
674,H,Dipropyl_amine,5
675,H,Diethyl_amine,5
676,H,Morpholine,1
677,H,Cyclohexylamine,1
678,H,Pyridine,1
679,H,Carbon_terachloride,1
680,H,Chloroform,1
681,H,Ethylen_chloride,1
682,H,Methylene_chloride,1
683,H,1_1_1-Trichloroethane,1
684,H,1-Chlorobutane,1
685,H,Trichloroethylene,1
686,H,2_2-Dichloro_diethyl_ether,1
687,H,Chlorobenzene,1
688,H,o-Dichlorobenzene,1
689,H,alpha-bromonaphtaline,1
690,H,Cyclohexylchloride,4
691,H,Benzene,1
692,H,Toluene,1
693,H,Xylene,4
694,H,Ethyl_benzene,1
695,H,Styrene,1
696,H,Tetralin,5
697,H,Hexane,6
698,H,Cyclohexane,4
699,H,Acetic_acid,1
700,H,Formic_acid_90,1
701,H,Butyric_acid,1
702,H,Benzaldehyde,1
703,H,Acetic_anhydride,1
704,I,Methanol ,3
705,I,Ethanol_96,1
706,I,Ethanol_99p9,1
707,I,n-Propanol,1
708,I,n-Butanol,1
709,I,Pentanol-1,1
710,I,2-Ethyl_butanol,1
711,I,2-Ethyl_hexanol,1
