,solubility_category
804,soluble
805,soluble
806,soluble
807,soluble
808,soluble
809,soluble
810,soluble
811,soluble
812,soluble
813,soluble
814,soluble
815,soluble
816,soluble
817,soluble
818,theta
819,soluble
820,theta
821,soluble
822,theta
823,soluble
824,theta
825,soluble
826,non-soluble
827,non-soluble
828,non-soluble
829,non-soluble
830,non-soluble
831,non-soluble
832,non-soluble
833,non-soluble
834,non-soluble
835,non-soluble
836,non-soluble
837,non-soluble
838,non-soluble
839,non-soluble
840,non-soluble
841,non-soluble
842,non-soluble
843,non-soluble
844,non-soluble
845,soluble
846,non-soluble
847,non-soluble
848,soluble
849,soluble
850,non-soluble
851,non-soluble
852,non-soluble
853,non-soluble
854,non-soluble
855,non-soluble
856,non-soluble
857,non-soluble
858,non-soluble
859,non-soluble
860,non-soluble
861,non-soluble
862,non-soluble
863,non-soluble
864,non-soluble
865,non-soluble
866,soluble
867,non-soluble
868,non-soluble
869,soluble
870,theta
871,soluble
872,non-soluble
873,theta
874,soluble
875,non-soluble
876,non-soluble
877,theta
878,soluble
879,non-soluble
880,soluble
881,soluble
882,soluble
883,non-soluble
884,theta
885,theta
886,soluble
887,soluble
888,soluble
889,soluble
890,soluble
891,soluble
892,soluble
893,soluble
894,soluble
895,soluble
896,soluble
897,soluble
898,soluble
899,non-soluble
900,non-soluble
901,non-soluble
902,theta
903,soluble
904,soluble
905,theta
906,soluble
907,non-soluble
908,soluble
909,theta
910,soluble
911,soluble
912,soluble
913,soluble
914,soluble
915,soluble
916,soluble
917,soluble
918,soluble
919,soluble
920,soluble
921,soluble
922,soluble
923,soluble
924,soluble
925,soluble
926,soluble
927,soluble
928,non-soluble
929,non-soluble
930,non-soluble
931,non-soluble
932,non-soluble
933,soluble
934,non-soluble
935,non-soluble
936,non-soluble
937,non-soluble
938,non-soluble
939,non-soluble
940,non-soluble
941,non-soluble
942,non-soluble
943,non-soluble
944,non-soluble
945,non-soluble
946,non-soluble
947,non-soluble
948,theta
949,theta
950,soluble
951,non-soluble
952,non-soluble
953,non-soluble
954,non-soluble
955,theta
956,non-soluble
957,non-soluble
958,theta
959,theta
960,theta
961,non-soluble
962,non-soluble
963,soluble
964,non-soluble
965,non-soluble
966,non-soluble
967,soluble
968,theta
969,soluble
970,soluble
971,theta
972,non-soluble
973,non-soluble
974,non-soluble
975,non-soluble
976,soluble
977,theta
978,soluble
979,non-soluble
980,non-soluble
981,non-soluble
982,non-soluble
983,non-soluble
984,theta
